----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00037.cbf | 58     | 37            | 47352           | 1.61  | 3.41                   | 3.82                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00038.cbf | 35     | 16            | 48415           | 1.61  | 23.15                  | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00039.cbf | 35     | 12            | 27332           | 1.61  | 32.33                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00040.cbf | 36     | 11            | 28076           | 1.61  | 35.91                  | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00041.cbf | 41     | 16            | 31040           | 1.61  | 38.11                  | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00042.cbf | 38     | 14            | 34503           | 1.61  | 34.73                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00043.cbf | 39     | 12            | 26895           | 1.61  | 37.31                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00044.cbf | 39     | 15            | 22767           | 1.61  | 2.48                   | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00045.cbf | 39     | 18            | 46043           | 1.61  | 3.16                   | 2.41                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00046.cbf | 41     | 18            | 54597           | 1.61  | 28.65                  | 2.75                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00047.cbf | 37     | 15            | 38907           | 1.61  | 23.53                  | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00048.cbf | 36     | 12            | 36816           | 1.61  | 34.72                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00049.cbf | 36     | 13            | 35876           | 1.61  | 37.21                  | 4.36                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00050.cbf | 38     | 14            | 28543           | 1.61  | 34.60                  | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00051.cbf | 40     | 13            | 27957           | 1.61  | 37.42                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00052.cbf | 40     | 15            | 27513           | 1.61  | 31.75                  | 3.47                   | 0        | 0.00             |
