----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00036.cbf | 190    | 159           | 122897          | 1.62  | 3.27                   | 3.24                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00037.cbf | 464    | 411           | 442082          | 2.04  | 2.38                   | 2.79                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00038.cbf | 23     | 4             | 1995            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00039.cbf | 176    | 148           | 152755          | 1.68  | 2.47                   | 2.71                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00040.cbf | 28     | 10            | 6698            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00041.cbf | 91     | 65            | 52715           | 1.59  | 3.20                   | 2.95                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00042.cbf | 35     | 14            | 10631           | 1.63  | 3.44                   | 2.43                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00043.cbf | 266    | 222           | 221656          | 1.59  | 2.48                   | 2.72                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00044.cbf | 37     | 15            | 10033           | 1.69  | 3.75                   | 3.07                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00045.cbf | 36     | 14            | 7711            | 1.63  | 2.20                   | 3.03                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00046.cbf | 25     | 5             | 4192            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00047.cbf | 43     | 25            | 14821           | 1.72  | 4.22                   | 3.52                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00048.cbf | 22     | 3             | 2373            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00049.cbf | 36     | 18            | 9675            | 1.59  | 3.27                   | 2.71                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00050.cbf | 33     | 14            | 8492            | 3.86  | 4.16                   | 3.43                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00051.cbf | 35     | 14            | 8511            | 1.58  | 4.53                   | 3.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00052.cbf | 38     | 15            | 8935            | 1.58  | 4.16                   | 2.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00053.cbf | 32     | 7             | 5516            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00054.cbf | 35     | 15            | 7590            | 1.68  | 3.18                   | 2.52                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00055.cbf | 28     | 11            | 5930            | 1.58  | 5.12                   | 3.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00056.cbf | 116    | 89            | 65108           | 2.40  | 2.40                   | 2.79                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00057.cbf | 31     | 10            | 5656            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00058.cbf | 23     | 4             | 778             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00059.cbf | 25     | 5             | 3980            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00060.cbf | 27     | 6             | 6868            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00061.cbf | 23     | 3             | 1572            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00062.cbf | 30     | 10            | 6858            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00063.cbf | 115    | 92            | 65927           | 2.18  | 2.98                   | 3.03                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00064.cbf | 23     | 3             | 2079            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00065.cbf | 26     | 4             | 2601            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00066.cbf | 29     | 7             | 3262            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00067.cbf | 66     | 42            | 28019           | 2.51  | 2.90                   | 3.26                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00068.cbf | 91     | 70            | 49312           | 1.71  | 2.48                   | 2.83                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00069.cbf | 30     | 6             | 2481            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00070.cbf | 57     | 34            | 21896           | 1.59  | 3.25                   | 3.17                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00071.cbf | 26     | 4             | 2150            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00072.cbf | 60     | 36            | 22457           | 1.69  | 2.48                   | 3.04                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00073.cbf | 265    | 240           | 190046          | 2.11  | 2.83                   | 3.07                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00074.cbf | 199    | 163           | 117873          | 1.57  | 2.79                   | 2.81                   | 0        | 0.00             |
